obs,group,gender,hr
531,Runners,Female,128
532,Runners,Female,95
533,Runners,Female,115
534,Runners,Female,103
535,Runners,Female,98
536,Runners,Female,85
537,Runners,Female,113
538,Runners,Female,123
539,Runners,Female,102
540,Runners,Female,126
541,Runners,Female,106
542,Runners,Female,105
543,Runners,Female,132
544,Runners,Female,109
545,Runners,Female,131
546,Runners,Female,105
547,Runners,Female,108
548,Runners,Female,122
549,Runners,Female,128
550,Runners,Female,132
551,Runners,Female,85
552,Runners,Female,116
553,Runners,Female,88
554,Runners,Female,134
555,Runners,Female,126
556,Runners,Female,87
557,Runners,Female,109
558,Runners,Female,107
559,Runners,Female,121
560,Runners,Female,138
561,Runners,Female,117
562,Runners,Female,121
563,Runners,Female,112
564,Runners,Female,119
565,Runners,Female,106
566,Runners,Female,126
567,Runners,Female,86
568,Runners,Female,108
569,Runners,Female,124
570,Runners,Female,122
571,Runners,Female,94
572,Runners,Female,146
573,Runners,Female,111
574,Runners,Female,100
575,Runners,Female,141
576,Runners,Female,122
577,Runners,Female,117
578,Runners,Female,120
579,Runners,Female,106
580,Runners,Female,123
581,Runners,Female,139
582,Runners,Female,100
583,Runners,Female,150
584,Runners,Female,111
585,Runners,Female,108
586,Runners,Female,97
587,Runners,Female,124
588,Runners,Female,147
589,Runners,Female,102
590,Runners,Female,98
591,Runners,Female,128
592,Runners,Female,92
593,Runners,Female,124
594,Runners,Female,111
595,Runners,Female,135
596,Runners,Female,140
597,Runners,Female,117
598,Runners,Female,94
599,Runners,Female,111
600,Runners,Female,88
601,Runners,Male,100
602,Runners,Male,120
603,Runners,Male,93
604,Runners,Male,107
605,Runners,Male,138
606,Runners,Male,96
607,Runners,Male,107
608,Runners,Male,119
609,Runners,Male,99
610,Runners,Male,102
611,Runners,Male,87
612,Runners,Male,88
613,Runners,Male,80
614,Runners,Male,120
615,Runners,Male,104
616,Runners,Male,110
617,Runners,Male,127
618,Runners,Male,112
619,Runners,Male,96
620,Runners,Male,87
621,Runners,Male,94
622,Runners,Male,81
623,Runners,Male,116
624,Runners,Male,102
625,Runners,Male,102
626,Runners,Male,98
627,Runners,Male,97
628,Runners,Male,103
629,Runners,Male,97
630,Runners,Male,101
631,Runners,Male,86
632,Runners,Male,92
633,Runners,Male,119
634,Runners,Male,121
635,Runners,Male,103
636,Runners,Male,98
637,Runners,Male,132
638,Runners,Male,93
639,Runners,Male,105
640,Runners,Male,116
641,Runners,Male,93
642,Runners,Male,114
643,Runners,Male,97
644,Runners,Male,128
645,Runners,Male,98
646,Runners,Male,107
647,Runners,Male,105
648,Runners,Male,95
649,Runners,Male,104
650,Runners,Male,86
651,Runners,Male,102
652,Runners,Male,95
653,Runners,Male,83
654,Runners,Male,78
655,Runners,Male,96
656,Runners,Male,110
657,Runners,Male,101
658,Runners,Male,107
659,Runners,Male,113
660,Runners,Male,98
661,Runners,Male,91
662,Runners,Male,92
663,Runners,Male,113
664,Runners,Male,88
665,Runners,Male,97
666,Runners,Male,96
667,Runners,Male,112
668,Runners,Male,130
669,Runners,Male,105
670,Runners,Male,97
671,Runners,Male,90
672,Runners,Male,124
673,Runners,Male,117
674,Runners,Male,99
675,Runners,Male,102
676,Runners,Male,97
677,Runners,Male,108
678,Runners,Male,125
679,Runners,Male,107
680,Runners,Male,108
681,Runners,Male,103
682,Runners,Male,108
683,Runners,Male,123
684,Runners,Male,127
685,Runners,Male,102
686,Runners,Male,114
687,Runners,Male,109
688,Runners,Male,116
689,Runners,Male,95
690,Runners,Male,102
691,Runners,Male,125
692,Runners,Male,103
693,Runners,Male,121
694,Runners,Male,89
695,Runners,Male,111
696,Runners,Male,98
697,Runners,Male,101
698,Runners,Male,99
699,Runners,Male,108
700,Runners,Male,100
701,Runners,Male,102
702,Runners,Male,120
703,Runners,Male,98
704,Runners,Male,108
705,Runners,Male,94
706,Runners,Male,85
707,Runners,Male,106
708,Runners,Male,126
709,Runners,Male,129
710,Runners,Male,118
711,Runners,Male,93
712,Runners,Male,105
713,Runners,Male,100
714,Runners,Male,100
715,Runners,Male,98
716,Runners,Male,116
717,Runners,Male,109
718,Runners,Male,100
719,Runners,Male,127
720,Runners,Male,80
721,Runners,Male,109
722,Runners,Male,98
723,Runners,Male,97
724,Runners,Male,126
725,Runners,Male,82
726,Runners,Male,99
727,Runners,Male,90
728,Runners,Male,94
729,Runners,Male,112
730,Runners,Male,114
731,Runners,Male,106
732,Runners,Male,114
733,Runners,Male,96
734,Runners,Male,93
735,Runners,Male,111
736,Runners,Male,110
737,Runners,Male,115
738,Runners,Male,102
739,Runners,Male,103
740,Runners,Male,116
741,Runners,Male,115
742,Runners,Male,95
743,Runners,Male,103
744,Runners,Male,112
745,Runners,Male,127
746,Runners,Male,119
747,Runners,Male,118
748,Runners,Male,104
749,Runners,Male,114
750,Runners,Male,96
751,Runners,Male,126
752,Runners,Male,104
753,Runners,Male,87
754,Runners,Male,104
755,Runners,Male,105
756,Runners,Male,104
757,Runners,Male,94
758,Runners,Male,79
759,Runners,Male,109
760,Runners,Male,99
761,Runners,Male,83
762,Runners,Male,106
763,Runners,Male,109
764,Runners,Male,118
765,Runners,Male,106
766,Runners,Male,95
767,Runners,Male,102
768,Runners,Male,91
769,Runners,Male,88
770,Runners,Male,93
771,Runners,Male,119
772,Runners,Male,109
773,Runners,Male,111
774,Runners,Male,146
775,Runners,Male,99
776,Runners,Male,92
777,Runners,Male,117
778,Runners,Male,115
779,Runners,Male,103
780,Runners,Male,98
781,Runners,Male,83
782,Runners,Male,87
783,Runners,Male,109
784,Runners,Male,96
785,Runners,Male,111
786,Runners,Male,97
787,Runners,Male,96
788,Runners,Male,101
789,Runners,Male,93
790,Runners,Male,119
791,Runners,Male,103
792,Runners,Male,69
793,Runners,Male,104
794,Runners,Male,117
795,Runners,Male,95
796,Runners,Male,92
797,Runners,Male,100
798,Runners,Male,112
799,Runners,Male,97
800,Runners,Male,89
