obs,higpa,hsm,hss,hse,satm,satv,sex
97,0,9,7,10,490,400,2
98,0,10,10,10,590,470,2
99,0,9,7,4,550,290,1
100,0,10,10,10,600,520,1
101,0,8,9,7,480,410,1
102,1,9,7,7,400,390,1
103,0,6,9,9,480,390,1
104,0,6,7,8,530,470,1
105,0,9,7,6,670,440,1
106,0,10,9,9,710,530,1
107,1,9,10,9,750,670,1
108,0,9,9,10,690,510,2
109,0,7,6,9,570,480,2
110,0,6,6,9,550,600,2
111,1,7,4,7,660,480,1
112,1,9,9,10,510,570,2
113,0,10,8,8,650,490,2
114,0,8,9,8,550,500,1
115,0,9,9,9,620,480,1
116,0,10,10,10,720,500,1
117,1,10,10,9,630,440,1
118,1,9,8,9,640,630,1
119,0,8,6,9,470,420,2
120,0,10,10,10,690,580,1
121,0,8,9,10,640,600,1
122,0,9,5,9,480,520,2
123,0,9,6,7,690,400,1
124,1,9,9,9,640,430,2
125,0,10,7,7,650,450,1
126,0,7,8,9,550,570,1
127,0,8,8,8,470,330,2
128,1,10,8,9,510,360,2
129,0,6,5,6,470,330,1
130,0,6,6,6,480,460,1
131,0,9,7,8,450,460,2
132,0,10,8,10,530,550,2
133,1,10,10,10,670,490,2
134,0,7,6,6,540,590,1
135,1,10,10,10,730,650,1
136,1,10,9,10,490,410,2
137,1,10,7,8,710,400,1
138,1,5,9,9,510,380,1
139,0,10,7,5,770,720,1
140,0,6,9,10,530,510,2
141,1,10,10,10,580,490,2
142,0,9,8,9,740,460,2
143,0,9,9,9,560,500,1
144,1,10,10,10,710,600,2
145,0,9,9,10,600,510,1
146,0,6,5,7,580,490,2
147,0,9,9,8,620,590,1
148,1,10,10,9,610,560,1
149,1,10,10,8,540,470,1
150,1,9,4,7,600,360,1
151,0,7,6,8,570,570,2
152,0,8,8,8,690,490,1
153,0,7,7,7,590,480,1
154,1,4,3,4,620,560,1
155,1,10,10,10,640,570,1
156,1,10,10,10,580,340,1
157,1,10,10,7,750,540,1
158,0,8,7,8,650,500,1
159,0,4,6,6,630,490,1
160,1,10,10,9,650,480,1
161,0,9,10,10,590,420,1
162,0,6,5,6,530,320,1
163,1,9,7,9,650,490,1
164,1,10,10,8,660,630,1
165,0,9,7,8,620,420,2
166,0,6,6,7,430,460,2
167,1,10,10,10,500,390,2
168,1,8,6,8,590,580,2
169,0,10,6,6,620,430,1
170,1,9,5,7,570,570,1
171,0,7,8,8,570,480,1
172,0,8,7,7,690,440,1
173,0,10,9,9,660,550,1
174,1,9,7,8,690,550,1
175,0,10,10,10,770,540,1
176,0,7,7,8,670,500,1
177,0,10,10,10,620,570,1
178,0,6,5,6,540,460,2
179,1,10,10,10,620,510,2
180,0,8,7,9,620,600,2
181,0,10,9,9,660,460,1
182,1,8,8,7,600,630,1
183,0,9,10,8,447,320,1
184,0,10,9,9,720,740,1
185,0,9,9,10,520,570,2
186,1,6,9,9,480,480,2
187,0,6,6,6,590,440,1
188,1,7,6,6,600,410,1
189,0,9,4,8,640,470,2
190,0,7,10,10,630,500,1
191,0,9,9,9,620,580,1
192,0,10,8,7,700,480,1
193,0,6,8,6,580,470,1
194,0,9,7,8,630,630,1
195,1,10,10,10,600,660,2
196,0,7,7,8,630,540,1
197,0,10,9,10,650,430,2
198,1,10,9,10,660,560,1
199,0,10,10,10,600,560,1
200,0,8,7,9,700,440,1
201,1,10,9,10,640,560,2
202,1,9,10,9,550,560,1
203,0,9,9,8,620,400,1
204,0,8,10,8,680,450,1
205,0,8,9,10,510,440,2
206,0,9,7,6,600,440,2
207,0,7,7,9,510,480,2
208,0,8,8,7,630,500,1
209,0,8,10,9,470,410,1
210,1,10,10,10,750,760,1
211,1,7,8,4,710,500,1
212,0,8,9,8,550,510,2
213,0,6,5,7,586,697,1
214,0,9,9,10,586,670,1
215,0,9,8,7,700,500,1
216,0,7,7,5,550,570,1
217,0,7,9,7,356,350,2
218,0,5,4,7,630,470,2
219,0,6,6,8,505,518,1
220,1,8,6,8,630,470,2
221,0,5,7,7,515,285,1
222,1,10,10,9,774,688,1
223,0,9,8,9,559,488,2
224,0,9,8,7,491,391,1
